,0
0,크리스마스 트리가 필요없네요요 작품 하나만으로도 꽉채운 분위기 입니다 ~^^
1,네~ㅎㅎ올해 요 보석십자수가 다 해서 트리고 리스고 따로 암것도 안했어요.연말뿐만 아니라 과하지 않으면서 보며 기분 좋아져서 언제든 좋을것 같고요^^
2,"보석자수 해보고 싶은데,  초보도 그냥 바로 시작해도 될까요? 너무 만드신 작품 예쁘게 잘하셨네요~"
3,그럼요. 하는방법은 완전 간단해요.^^초보분들은 작은사이즈부터 시작해보시면 좋아요.워낙 종류도 많고 다양해서 취향것 놓을공간에 맞는 스타일 고르시면 좋고요^^
4,한땀한땀 장인정신으로 해야겠네요~~너무 예뻐요!!
5,원조 십자수에 비하면 완전 쉽고 간단해서 장인정신까지는 아니고 자연스레 반짝임이 예쁜 보석이라즐기면서 할수 있답니다.^^
6,시간가는줄 모르고 한다는 함정이 있지요 ㅋㅋ반짝반짝 너무 예뻐요^^
7,ㅎㅎ그렇죠.하지만 저는 대부분 일주일에 두 번?잠 들기 전 두시간 정도만 시간이 나서요.늘 많이씩은 못하기에 미리 장기전으로~ㅎㅎ그래서 더 즐기며 부담없이 하고있어서 좋은것 같아요.
8,하나 만드는데에도 오래 걸리겠어요ㅠㅠ
9,"워낙 좋아해서 요것만 하고 싶은게 문제인데 그럴수가 없어서쪼개서 하느라 오래 걸리긴 하는데요, 억지로 하는게 아니라서 그 또한 즐기면서 하고 있어요.^^뭐든 좋아하는 것 하면 힘들건 없답니다.^^"
10,포인세티아 살 필요 없겠어요 요게 이렇게나 이쁘니....한자리 톡톡히 해줄거 같은걸요 ^^
11,ㅎㅎㅎ그런가요?^^제대로 공간에 표정을 주기는 해요~워낙 생화같은 포인세티아 조화도 있어서 옆에 뒤늦게 놓아두었는데..더 근사해보이더라고요.^^사실 작년에 생화 선물받아서 키우다가 보내버렸거든요.^^;;요런게 훨씬 부담 없고 나은것 같기는 해요.^^;;
12,역시나 금손 초록여신님입니다!크기가 커서 더 시간이 오래 걸리셨던 것 같아요 ㅎㅎ여기에 집중하면 정말 잡생각도 안 들 좋은 취미생활일 것 같네요 :)
13,공감가는 포스팅이네요 ㅎㅎ (*ﾟｰﾟ)
14,초록여신님 검색하다 우연히 쓴 글 보고 갑니다. 좋은 하루 되세요~
15,명화같은것 만 봤었는데~ 이렇게 원색적인 작품도 있네요~~ 와우!!!!! 진짜 매력있어요~~^^
16,멋져요!!!
17,"포스팅 잘 보고 갑니다^^
자주 놀러 올게요~"
18,"날씨가 너무 추워졌네요
건강 조심하세요^^

곰팡이 결로방지 기능성페인트
편한탄성코트! 시공사진 많아요^^"
19,어휴 ~ 대단하기도해라 난 절대 못할듯 ㅋㅋㅋ
20,공감가는 내용이네요 (*ﾟｰﾟ)
21,
22,잼날거같아요😀😀
23,포스팅내용너무 좋네요☺️제블로그에도 놀러와주세요🥰
24,요고 파는곳 알수있을까요??넘 이뻐서 구매하고싶네요
25,안녕하세요~! 혹시 파는 곳 링크 좀 얻을 수 있을까요? 아무리 검색해도 못 찾겠어요 ㅠㅠ
26,파는곳 알려주세요~사고파요^^
27,시간잘가고 재밌어요 ㅎ 코로나땜에 집콕하는 요즘 시간보내기 👍
28,격하게 공감합니다!
29,저도 십자수도 보석십자수도 많이 합니다~ 시이추 신청했어요^^
30,감사합니다. 즐거운 하루 되세요
31,육퇴하고 할 취미생활 찾고있었는데 이거 괜찮네요ㅎㅎ
32,작은 사이즈 부터 시작해 보시면 재미가 쏠쏠 할거에요.
33,와 대박이에요!
34,하다보면 재미나요
35,솜씨가 훌륭해요 금손이세요진짜 작품이네요 완성하셔서 뿌듯하실듯요잘보고 가요
36,감사합니다. 열심히 붙이면 됩니다.
37,정성스런 포스팅보고 공감 꾹 하고가요~^^
38,감사합니다. 즐거운 하루 되세요
39,와 신짱님 진짜 잘 하셨네요! 이거 친구들이 하길래 궁금했는데 생각보다 퀄리티가 너무 좋은데요❤
40,채도님>< 네네! 기존에 있던 사진으로 한건데도 퀄리티가 너무 좋아서 만족스럽더라구요>< 현재 반정도 한 상태인데 너무나도 마음에 쏙 들어요 ><
41,잼있겟다 이거
42,완전 재밌다  ㅋㅋㅋㅋㅋ 남편이랑 찍은 사진으로 gogo  ㅋㅋ 시간도 엄청 잘 감 ㅋㅋㅋㅋ
43,즈희 엄마두 요새 이거 하시더라그여 !!재밋데용 ㅎㅎㅎ
44,오오오!!!! 은근 재밌어요 ㅎㅎㅎ 제일 처음에 할때는 이걸 . .. .후 . . .이랬는데 지금은 완전 중독수준으로 새로운 그림들 계속 하고 있어요 ㅋㅋㅋㅋㅋ
45,누구야 누가 기억해서 사준고야???
46,"엄마 ,, 내 동심지킴이 ^^ ,,"
47,날씨가 오늘은 많이 풀렸네요!!항상 감기조심하시고오늘하루도 멋진하루 보내세용:-)
48,유튜브에서 보석 십자수하는거 몇번 보긴 했는데 이렇게까지 정성이 들어가는 줄은 몰랐네요😂저도 한번 도전해보려고 했었는데 율리아님 하시는거 보니 엄두가 안난다는.....❤
49,포스팅 정독하고 공감 찍고 갑니다.
50,완전 멋지네요인내와 끈기가 있어야할듯 하네요 전 못할거같아요ㅎ👍
51,한땀한땀 대단 하시네요!해바라기를 거실에 놓으면 좋다고 하는데 좋은일만 생기시겟어요~
52,오홍 그렇군요 저는 방에 붙였어용 >_<
53,방에 걸어둬도 좋을거 같아요!ㅎㅎㅎ대박나세요!!
54,시간 보내기에 이만한 취미가 없는 것 같아요~
55,맞아여 맞아여!! 진짜 시간 잘간데요 ㅎㅎ
56,ㅇㅅㅇ!!진짜 블링블링 이쁜 해바라기네염 ㅎㅎ
57,네네 너무 행복해요 ㅠ_ㅠ 엉엉
58,반짝반짝 너무 예뻐용!! 어디에서 샀는지 알 수 있을까요??
59,저 네이버 쇼핑으로 보석십자수 캔버스 검색 했어요!!
60,십자수 너무 이쁘네요!
61,네네 완전 예뻐용 ㅎㅎ 저 그래서 하나 더 샀어요!!
62,오 저는 앨리스 잔세트 가지고 오고 싶네용!! 저도 가볼게용! 좋은 정보 감사합니다!
